PairID;TWord;SContext;Word;Freq_Brulex;Freq_lexique_FastSearch;Freq_lexique_Frantext;CVstruct;V_pair;Pb;Subject;Similarity_Subject_Word;Verb;Similarity_Verb_Word;Similarity_Subject_Verb;Carrier;Phrase;Translation (à vérifier absolument !);Nbsylls
20;Word2;Context0;peine;431;23635;265.71;CVC;a/E;;chat;0.041;afficher;0.034;0.041;Le chat affiche la;Le chat affiche la peine.;;10
21;Word2;Context0;selle;290;1879;13.67;CVC;a/E;;cadeau;0.035;argumenter;0.026;0.049;Le cadeau argumente la;Le cadeau argumente la selle.;;10
22;Word2;Context0;veine;335;2079;21.87;CVC;a/E;;souris;0.095;livrer;0.081;0.057;La souris a livré la;La souris a livré la veine.;;10
23;Word2;Context0;bol;290;2850;14.32;CVC;a/O;;flèche;0.077;entendre;0.081;0.055;La flèche a entendu le;La flèche a entendu le bol.;;10
24;Word2;Context0;bord;414;22692;142.33;CVC;a/O;;peluche;0.045;s'ordonner;0.08;0.044;Les peluches se sont ordonnées près du;Les peluches se sont ordonnées près du bord.;;10
27;Word2;Context0;colle;254;3233;15.68;CVC;a/O;;microphone;0.064;rencontrer;0.006;0.047;Le microphone a rencontré la;Le microphone a rencontré la colle.;;10
28;Word2;Context0;dot;290;972;3.33;CVC;a/O;;montre;0.04;éternuer;0.051;0.065;La montre a éternué la;La montre a éternué la dot.;;10
29;Word2;Context0;gomme;-2;1273;7.78;CVC;a/O;;robe;0.077;attaquer;0.086;0.057;La robe a attaqué la nouvelle;La robe a attaqué la nouvelle gomme.;;10
31;Word2;Context0;mort;442;359;1.97;CVC;a/O;;brosse;0.021;pelleter;0.085;0.085;Les brosses ont pelleté la;Les brosses ont pelleté la mort.;;10
32;Word2;Context0;noce;330;1915;14.16;CVC;a/O;;carotte;0.019;courir;0.056;0.075;Les carottes ont été courues dans la;Les carottes ont été courues dans la noce.;;10
33;Word2;Context0;note;404;49102;80.71;CVC;a/O;;fourche;0.004;stationner;0.018;0.07;La fourche stationnaient leurs;La fourche stationnaient leurs note.;;10
34;Word2;Context0;corps;473;34145;390.48;CVC;a/O;;sac;0.074;divulguer;0.015;0.041;Le sac divulgue le;Le sac divulgue le corps.;;10
37;Word2;Context0;jus;299;4267;14.65;CV;2/y;;croquette;0.098;peindre;0.073;0.068;Les croquettes peignent le;Les croquettes peignent le jus.;;10
38;Word2;Context0;nu;-2;10346;118.2;CV;2/y;;canapé;0.049;suspendre;0.092;0.042;Le canapé suspendait le;Le canapé suspendait le nu.;;10
40;Word2;Context0;fou;-2;14518;149.84;CV;o/u;;colonne;0.012;sécher;0.092;0.062;La colonne sèche les;La colonne sèche les fou.;;10
41;Word2;Context0;loup;358;6786;28.03;CV;o/u;;clé;0.008;renverser;0.063;0.052;Les clés ont renversé le;Les clés ont renversé le loup.;;10
43;Word2;Context0;pouls;273;549;5.06;CV;o/u;;feuille;0.048;équiper;0.047;0.031;La feuille équipe les;La feuille équipe les pouls.;;10
46;Word2;Context0;sou;361;155779;1028.9;CV;o/u;;lierre;0.061;concentrer;0.052;0.04;Le lierre concentre le;Le lierre concentre le sou.;;10
